food,measure,g_or_ml,carbs_g,calories_kcal
"Abóbora cabotian, cozida",1 colher de sopa,36,3,14
"Abóbora Cabotian, crua",1 colher de sopa,36,4,17
Abóbora d’água (picada),1 colher de sopa cheia,36,0,10
Abóbora doce (picada),1 colher de sopa cheia,36,4,18
Abóbora moranga (picada),1 colher de sopa cheia,36,1,7
Abobrinha recheada,1 unidade,100,6,89
"Abobrinha, italiana, cozida",1 colher de sopa,20,0,3
"Abobrinha, italiana, crua",1 colher de sopa,20,1,4
"Abobrinha, paulista, crua",1 colher de sopa,20,2,6
Abricó-do-pará,1 fatia média,100,13,64
Açafrão em pó,1 colher de sopa cheia,16,12,54
Açaí (polpa concentrada com farinha de mandioca),1 copo pequeno,150,85,339
Açaí (polpa concentrada com farinha de tapioca),1 copo pequeno,150,85,340
Açaí (polpa natural concentrada),1 copo pequeno,150,55,220
Açaí (polpa) com xarope de guaraná e glicose,1 taça pequena,100,21,110
Açai natural Frooty ®,1 bola,60,13,64
Açaí natural Frooty zero ®,1 bola,60,10,35
Açaí polpa congelada (sem adição de açúcar),1 unidade,100,6,58
"Açaí, suco de",1 copo duplo cheio,240,72,438
Acarajé,1 unidade média,100,22,282
Acelga (picada),1 colher de sopa cheia,6,0,2
Acém magro cozido,1 pedaço médio,100,0,215
Acerola,1 unidade,12,1,4
Achocolatado Diet Gold ®,1 colher de sopa,5,3,11
Achocolatado Diet Linea ®,1 colher de sopa,5,3,14
Achocolatado light Nescau ®,1 colher de sopa,10,8,35
Achocolatado light Toddy ®,1 colher de sopa,10,8,36
Achocolatado tradicional Nescau ®,1 colher de sopa,10,9,37
Achocolatado tradicional Toddy ®,1 colher de sopa,10,9,40
Açúcar branco refinado,1 colher de sopa cheia,30,30,116
Açúcar cristal,1 colher de sopa cheia,24,24,96
Açúcar de coco,1 colher de chá,5,5,19
Açúcar mascavo,1 colher de sopa cheia,19,17,70
Adoçante Linea Forno e Fogão,1 colher de sopa,1,1,4
Adoçante Tal e Qual forno e fogão,1 colher de sopa,2,2,8
Adoçante Use Metade Forno e Fogão,1 colher de sopa,10,9,37
Agrião (picado),1 colher de sopa cheia,7,0,2
Agriao refogado,1 colher de sopa cheia,25,1,19
Água de coco industrializada Sococo ®,1 copo,200,11,44
Água de coco verde,1 copo,200,11,44
Água tônica Antarctica ®,1 lata,350,17,73
Água tônica zero Antarctica ®,1 lata,350,0,0
Aguardente,1 dose,50,0,109
Aipim cozido (macaxeira ou mandioca),pedaço grande,100,30,120
Aipim frito (macaxeira ou mandioca),pedaço grande,100,50,304
Aipo inteiro (picado),1 colher de sopa cheia,10,0,2
Alcachofra cozida,1 pedaco médio,90,11,45
Alcaparra,1 colher de sopa cheia,27,1,10
Alface americana crua,1 folha média,10,0,1
Alface crespa crua,1 folha média,10,0,1
Alface lisa crua,1 folha média,10,0,1
Alface roxa crua,1 folha média,10,0,1
Alfajor ao leite Cacau  Show ®,1 unidade,40,23,120
Alfajor recheado com doce de leite Brasil Cacau ®,1 unidade,25,15,98
Alfarroba em pó Carob House ®,1 colher de sopa,20,13,58
Alfavaca crua,1 folha média,10,0,3
Algodão Doce,1 unidade,30,30,116
Algodão doce (Mavalério),1 embalagem,35,35,140
Algodão doce tuti - frutti Snow Sugar ®,1/2 xícara de chá,5,5,20
Algodão doce uva Snow Sugar ®,1/2 xícara de chá,5,5,20
Alho cru,2 dentes,6,2,8
Alho poró cru,1 porcao pequena,20,3,11
All bran,1 colher de sopa cheia,9,4,23
Almeirão cru (picado),1 colher de sopa cheia,10,0,0
Almôndega bovina,1 unidade média,50,4,102
Ambrosia,2 colheres de sopa cheias,80,23,137
Ameixa de queijo,1 unidade,12,7,36
Ameixa preta em calda,1 unidade média,7,5,20
Ameixa preta fresca,1 unidade media,42,4,18
Ameixa preta seca,1 unidade média,5,2,9
Ameixa vermelha,1 unidade media,5,2,9
"Ameixa, passa de",1 colher de sopa cheia,15,10,44
Amêndoa,1 unidade média,3,1,13
Amendoim caramelizado,1 pacote pequeno,20,14,95
Amendoim cozido,2 colheres de sopa,34,7,108
Amendoim torrado salgado,2 colheres de sopa,34,5,194
"Amendoim, grão cru",2 colheres de sopa,34,5,194
Amido de arroz,1 colher de sopa cheia,20,17,70
Amido de milho,1 colher de sopa cheia,20,17,69
"Amora (branca, preta e vermelha)",1 unidade média,8,1,5
"Amora, geléia de  (com açúcar)",1 colher de sopa cheia,40,23,93
"Amora, geléia de (Linea ®)",1 colher de sopa,20,8,23
Angu,1 colher de sopa cheia,35,9,44
Antepasto abobrinha escabeche,1 colher de sopa cheia,30,4,57
Antepasto alichella,1 colher de sopa cheia,30,1,106
Antepasto berinjela,1 colher de sopa cheia,30,4,88
Antepasto sardella,1 colher de sopa cheia,30,5,160
Apfelstrudell (folheado de maçã),1 porção grande,220,59,396
Apresuntado,1 fatia média,15,0,69
Araçá,1 colher de sopa cheia,20,3,12
Arroz à grega,1 colher de sopa cheia,25,7,35
Arroz à grega,1 colher de servir,60,18,75
Arroz a piamontese,1 colher de servir cheia,55,11,100
Arroz branco cozido,1 colher de servir arroz,45,15,74
Arroz branco cozido,1 colher de sopa cheia,20,6,26
Arroz carreteiro,1 colher de servir,45,5,70
Arroz com amendoas,1 colher de servir,60,18,75
Arroz com galinha,1 colher de sopa cheia,25,6,45
Arroz com lentilha,1 colher de servir cheia,55,11,80
Arroz com lingüiça,1 colher de servir cheia,55,11,92
Arroz com pequi,1 colher de servir cheia,55,13,95
Arroz de aveia Quaker®,1 colher de sopa,10,7,38
Arroz de Cabidela  (ao molho pardo),! Coher de servir cheia,55,7,85
Arroz de cuxá,1 colher de servir cheia,55,11,66
Arroz doce com açúcar,1 colher de sopa cheia,40,13,66
Arroz integral cozido,1 colher de sopa cheia,20,5,25
Arroz Negro cozido,1 colher de sopa cheia,25,8,40
Arroz para sushi com açúcar e  sal,1 colher de sopa rasa,25,7,35
Arroz selvagem,1 colher de servir cheia,55,12,55
Arroz sírio,1 colher de servir,45,13,69
"Arroz, farinha de",1 colher de sopa cheia,17,14,62
"Arroz, flocos de",1 colher de sopa cheia,14,11,49
Aspargo em conserva,1 unidade média,7,0,2
Ata (fruta do conde),1 unidade média,60,9,41
Ataif,1 porção,100,13,124
Atum em água,1 colher de sopa cheia,16,0,45
Aveia em flocos crua,1 colher de sopa cheia,15,10,56
"Aveia, farinha de (crua)",1 colher de sopa cheia,18,12,71
"Aveia, flocos finos Quaker ®",1 colher de sopa,15,8,52
Avelã,1 unidade média,1,0,6
Azeite de dendê industrializado,1 colher de sopa,8,0,71
Azeite de oliva (extra),1 colher de sopa,8,0,72
Azeitona preta (parte comest.),1 unidade média,3,0,7
Azeitona verde (parte comest.),1 unidade média,4,0,12
Baba de moça,1 colher de sopa cheia,30,27,150
Babaganuche,1 porção,100,6,84
Bacaba,1 copo pequeno,150,10,320
Bacalhau a Gomes de Sá,1 porção,100,13,151
Bacalhau com natas,1 porção,100,13,155
Bacalhau Espiritual,1 porção,100,20,216
Bacalhau refogado,1 porção,100,1,140
Bacalhoada,1 colher de sopa,30,2,51
Bacallhau cozido,1 escumadeira média,60,0,88
Bacon,1 fatia média,15,0,99
Bacon Baked Potato ®,1 concha,20,0,92
Baconzitos (Elma Chips®),1 xícara,17,9,82
Bacuri,1 unidade média (polpa),90,0,870
Baguete congelada Qualitá ® 1 unidade pequena,,50,25,124
Baião de dois,1 escumadeira cheia,100,20,136
Bala 7 belo ®,1 unidade,5,4,20
Bala de banana,1 unidade,17,4,15
Bala de caramelo Embare ®,1 unidade,6,5,27
Bala de coco,1 unidade,5,5,20
Bala de goma,1 unidade,3,3,11
Bala de mel Arcor ®,1 unidade,6,6,22
Bala Delícia,1 unidade,5,4,20
Bala Fini bananas ®,1 unidade,6,5,21
Bala Fini beijos ®,1 unidade,7,6,24
Bala Fini dentaduras ®,1 unidade,6,5,21
Bala Fini minhoca ®,1 unidade,6,5,21
Bala Fini tubinhos ®,1 unidade,6,6,26
Bala Halls ®,1 unidade,3,3,13
Bala Jujuba,1 unidade,3,3,12
Bala macia,1 unidade,5,5,20
Bala mentos mint ®,1 unidade,3,2,10
Bala mentos rainbow ®,1 unidade,3,2,9
Bala Tic Tac ®,1 caixa,16,16,63
Bala Toffees Chocolate  Arcor ®,1 unidade,7,4,31
Bala yogurte ®,1 unidade,5,4,19
"Bambu, brotos de",1 pires de chá,10,0,3
Banana à milanesa,1 unidade média,100,24,185
Banana caramelada,1 unidade média,50,29,114
Banana caturra ou Nanica,1 unidade média,86,20,79
Banana da terra crua,1 unidade grande,100,27,117
Banana frita da terra,1 fatia media,31,10,68
Banana maçã,1 unidade média,65,17,72
Banana ouro,1 unidade média,40,9,42
Banana pacova madura cozida sem casca,1 colher de sopa cheia,35,12,48
Banana pacova madura frita (picada),1 colher de sopa cheia,35,18,96
Banana pacova madura in natura (picada),1 colher de sopa cheia,30,11,45
Banana pacova verde frita,1 colher de sopa cheia,35,30,138
Banana prata crua,1 unidade média,55,14,54
Banana prata crua,1 unidade pequena,40,10,39
Bananada,1 unidade media,40,27,115
Banha de porco,1 colher de sopa cheia,10,0,90
Barra de cereais 3 grãos integrais choconut Línea ®,1 unidade,20,11,73
Barra de cereais 3 grãos integrais zero açúcar sabor banana com aveia Línea®,1 unidade,20,13,63
Barra de cereais 3 grãos integrais zero açúcar sabor cookies’s cream Línea®,1 unidade,20,13,70
Barra de cereais 3 grãos integrais zero açúcar sabor trifa de chocolate Línea®,1 unidade,20,12,68
"Barra de cereais 7 grãos banana, aveia e mel Da Magrinha®",1 unidade,15,10,53
Barra de cereais 7 grãos cacau Da Magrinha®,1 unidade,15,10,55
Barra de cereais 7 grãos castanha do Pará Da Magrinha®,1 unidade,15,6.2,74
Barra de cereais 7 grãos moramgo e cacau Da Magrinha®,1 unidade,15,10,54
Barra de cereais 7 grãos morango e cacau Da Magrinha®,1 unidade,15,10,54
Barra de cereais 7 grãos original Da Magrinha®,1 unidade,15,2,30
Barra de cereais 7 graõs zero açúcar sabor banana aveia e mel Da Magrinha®,1 unidade,15,10,53
Barra de cereais 7 graõs zero açúcar sabor cacau Da Magrinha®,1 unidade,15,10,55
Barra de cereais banana com aveia Línea ®,1 unidade,20,13,67
Barra de cereais morango com iogurte Línea ®,1 unidade,20,12,63
Barra de cereais zero açúcar sabor avelã + nibs de cacau &Joy®,1 unidade,25,9.4,109
"Barra de cereais zero açúcar sabor avelã, castanha e chocolate Trio®",1 unidade,20,9.1,140
"Barra de cereais zero açúcar sabor banan, aveia e mel Trio®",1 unidade,20,9.1,140
Barra de cereais zero açúcar sabor banana + nozes &Joy®,1 unidade,25,8.7,115
Barra de cereais zero açúcar sabor brownie Ritter®,1 unidade,25,16,97
Barra de cereais zero açúcar sabor caramelo salgado e chocolate branco Ritter®,1 unidade,22,14,94
Barra de cereais zero açúcar sabor mocca café e chocolate branco Ritter®,1 unidade,22,15,91
Barra de cereais zero açúcar sabor morango e chocolate branco Ritter®,1 unidade,22,15,90
Barra de cereais zero açúcar sabor morango e chocolate Trio®,1 unidade,20,9.3,140
"Barra de cereal Banana, Aveia e Mel Light TAEQ ®",1 unidade,22,14,71
Barra de cereal comum (média),1 unidade,25,18,97
Barra de cereal diet (média),1 unidade,25,15,67
Barra de cereal light (média),1 unidade,25,16,75
Barra de Cereal Nuts Original Nutry ®,1 unidade,30,11,158
Barra de frutas (Supino) ®,1 unidade,24,17,86
Barra de frutas proteica (Supino) ®,1 unidade,30,12,86
Barra de frutas zero açúcar (Supino) ®,1 unidade,24,17,84
Barra de proteína 7 grãos amedoim Da Magrinha®,1 unidade,15,6.8,68
Barra de proteína 7 grãos cacau Da Magrinha®,1 unidade,15,6,69
Barra de Proteina zero adição de açúcar Crunch sabor cookies & cream Bold®,1 unidade,54,14,170
Barra de Proteina zero adição de açúcar Crunch sabor morango e chantlly Bold®,1 unidade,50,14,174
Barra de Proteina zero adição de açúcar sabor pistache Bold®,1 unidade,60,17,240
Barra de Proteina zero adição de açúcar sabores YoPro Nutrata®,1 unidade,55,15,229
Barra de Proteina zero adição de açúcar Thin  sabor avelã branco Bold®,1 unidade,40,12,149
Barra de Proteina zero adição de açúcar Thin  sabor bonbom de coco Bold®,1 unidade,40,12,151
Barra de Proteina zero adição de açúcar Thin  sabor caramelo crocante Bold®,1 unidade,40,12,141
Barra de Proteina zero adição de açúcar Thin  sabor caramelo e amendoim Bold®,1 unidade,40,12,144
Barra de Proteina zero adição de açúcar Thin  sabor cookies & cream Bold®,1 unidade,40,12,139
Barra de proteínas (média),1 unidade,30,10,100
Barra de proteínas plant based (Essential) ®,1 unidade,50,11,183
Barra nuts castanhas e sementes (Banana Brasil) ®,1 unidade,25,9,132
Barra nuts castanhas e sementes zero açúcar (Banana Brasil) ®,1 unidade,25,9,132
"Barra nuts castanhas, cacau e coco (Banana Brasil) ®",1 unidade,25,8,123
Barra proteica zero açúcar sabor amemndoim com chocolate Win Stage®,1 unidade,54,20,202
Barra proteica zero açúcar sabor banana com chocolate Win Stage®,1 unidade,54,21,210
Barra proteica zero açúcar sabor banana com chocolate Win Stage®,1 unidade,54,20,204
Barra proteica zero açúcar sabor chocolate com amendoas Win Stage®,1 unidade,54,21,202
Barra proteica zero açúcar sabor chocolate com avelâ Win Stage®,1 unidade,54,24,202
Barra proteica zero açúcar sabor morago Win Stage®,1 unidade,54,22,205
Barra proteica zero açúcar sabor vanilla coffe Win Stage®,1 unidade,54,20,202
Batata (Baked Potato),1 unidade,470,83,369
Batata doce amarela assada (picada),1 colher de sopa cheia,30,10,43
Batata doce branca cozida (picada),1 colher de sopa cheia,30,8,38
Batata doce cozida,1 colher sopa cheia,42,10,43
Batata doce frita,1 fatia media,65,39,249
"Batata doce, doce de",1 colher de sopa cheia,40,24,94
Batata frita Burguer King ®,1 porção média,0,37,320
Batata frita canoa Bob’s ®,1 porção média,0,46,307
Batata frita chips,1 punhado,13,6,70
Batata frita Habib’s ®,1 porção média,100,33,252
Batata frita palito Bob’s ®,1 porção média,0,41,259
Batata fritas Mc’ Donalds ®,1 porção média,0,35,295
Batata fritas McFritas Kids Mc’ Donalds ®,1 porção,0,11,87
Batata inglesa cozida,1 colher de sopa cheia,30,6,26
Batata inglesa frita,1 escumadeira media cheia,65,23,182
Batata inglesa Sauté,1 colher de sopa cheia,25,4,37
Batata palha,Colher de sopa cheia,13,6,78
Batata palha,1 xícara de chá,30,13,180
Batata pringles ®,14 unidades,25,13,131
Batata smiles Mccain ®,1 unidade,21,7,42
"Batata, amido de",1 colher de sopa cheia,16,13,53
"Batata, fécula de",1 colher de sopa cheia,20,16,66
Batata-baroa ou mandioquinha (picada),1 colher de sopa,30,5,33
Baton (chocolate ao leite Garoto),1 unidade,16,9,86
Beijinho,1 unidade,25,11,105
Beijinho,1 unidade pequena,6,3,25
Beijinho diet,1 unidade pequena,6,2,20
Beijinho-de-coco Nestle,1 colher de sopa,20,11,63
Beiju,1 unidade media,100,87,359
Beiju com Coco,1 unidade grande,125,77,622
Beiju de queijo com manteiga,1 unidade média,150,87,518
Beirute de frango crocante Habib’s ®,1 unidade,553,84,1269
Beirute Habibão Habib’s ®,1 unidade,636,45,1709
Beirute tradicional de rosbife Habib’s ®,1 unidade,418,56,919
Bekleua,1 porção,100,20,290
Bem casado,1 unidade,40,25,160
Berinjela cozida sem sal,1 colher de sopa cheia,25,2,8
Berinjela ensopada,1 escumadeira media rasa,75,6,56
Berinjela frita,1 rodela média,13,1,10
Bertalha refogada,1 pires,100,4,45
Beterraba cozida (picada),1 colher de sopa cheia,20,2,9
Beterraba crua,1 colher de sopa cheia,16,1,7
Bib’s Cebola Caramelizada Habib’s ®,1 unidade,266,37,938
Bib’s Chicken BBQ Habib’s ®,1 unidade,289,59,676
Bib’s Classic Burger  Habib’s ®,1 unidade,276,40,891
Bib’Sfiha Cheddar Burger Habib’s ®,1 unidade,296,34,985
Bib’Sfiha Salad Burger Habib’s ®,1 unidade,327,36,973
Bib’s salada bacon Habib’s ®,1 unidade,271,29,876
Bib’sfiha de Calabresa com mussarela Habib’s ®,1 unidade,70,19,186
Bib’sfiha de Carne Habib’s ®,1 unidade,75,23,193
Bib’sfiha de Frango Habib’s ®,1 unidade,75,23,180
Bib’sfiha de Queijo Habib’s ®,1 unidade,70,22,210
Bife à milanesa,1 unidade media,80,8,230
Bife à parmegiana,1 unidade média,150,13,490
Bife à Role,1 unidade grande,150,4,268
Bife de boi,1 unidade média,100,0,228
Bife de fígado,1 unidade média,100,6,216
Big Bob Bob’s ®,1 unidade,0,38,509
Big Bob frango Bob’s ®,1 unidade,0,38,494
Big Bob Veggie Carne ®,1 unidade,0,42,491
Big Mac McDonald’s ®,1 unidade,210,41,503
Big Tasty McDonald’s ®,1 unidade,337,41,837
Bis Lacta ®,1 unidade,6,4,31
Biscoito 7 grãos Da Magrinha® (média dos sabores),1 unidade,5,3,17
Biscoito amanteigado banana e canela,1 unidade,5,4,25
Biscoito Cracker 7 grãos Da Magrinha® (média dos sabores),1 unidade,4,2,12
Biscoito cream cracker (média),1 unidade,5,4,22
Biscoito de água e sal,1 unidade,8,5,34
Biscoito de arroz (Camil),1 unidade pequena,2,2,9
Biscoito de arroz Jasmine ®,1 unidade grande,6,5,23
Biscoito de aveia e mel Nestlé ®,1 unidade,6,4,26
Biscoito de castanha do Pará,1 unidade,9,7,46
Biscoito de coco Piraquê ®,1 unidade,5,3,23
Biscoito de polvilho (rosquinha),1 unidade,3,2,13
Biscoito de proteína sabor amendoim WheyViv®,1 pacotinho,45,12,142
Biscoito de proteína sabor amendoim WheyViv®,1 unidade,4,1,12
Biscoito de proteína sabor banana com canela WheyViv®,1 pacotinho,45,10,136
Biscoito de proteína sabor banana com canela WheyViv®,1 unidade,4,1,11
Biscoito de proteína sabor chocolate WheyViv®,1 pacotinho,45,14,135
Biscoito de proteína sabor chocolate WheyViv®,1 unidade,4,2,11
Biscoito de proteína sabor coco WheyViv®,1 pacotinho,45,14,137
Biscoito de proteína sabor cookies WheyViv®,1 pacotinho,45,16,135
Biscoito de proteína sabor cookies WheyViv®,1 unidade,5,2,14
Biscoito de proteína sabor gergelim WheyViv®,1 pacotinho,45,12,151
Biscoito de proteína sabor suspiro WheyViv®,1 pacotinho,25,6,66
Biscoito de proteína sabor suspiro WheyViv®,1 unidade,1,0,2
Biscoito de queijo,1 unidade,12,6,51
Biscoito leite maltado Piraquê ®,1 unidade,5,3,23
Biscoito maçã e canela nesfit ®,1 unidade,5,3,22
Biscoito maisena Nestlé ®,1 unidade,5,4,22
Biscoito maisena zero açúcar Lowçucar®,1 unidade,4,3,15
Biscoito maria Nestlé ®,1 unidade,6,4,26
Biscoito maria zero açúcar Lowçucar®,1 unidade,8,3,19
Biscoito passatempo coberto com chocolate Nestlé ®,1 unidade,10,7,46
Biscoito passatempo recheio chocolate Nestlé ®,1 unidade,10,8,45
Biscoito passatempo recheio doce de leite Nestlé ®,1 unidade,10,7,46
Biscoito passatempo recheio morango Nestlé ®,1 unidade,10,8,45
Biscoito passatempo sem recheio ®,1 unidade,6,4,22
Biscoito prestígio recheado São Luiz Nestlé ®,1 unidade,15,10,71
Biscoito prestígio wafer Nestlé ®,1 unidade,8,5,43
Biscoito Protein cookie 7 grãos Da Magrinha® (média dos sabores),1 unidade mini,3,2,14
Biscoito recheado bono chocolate Nestlé ®,1 unidade,10,6,46
Biscoito recheado chocolate (média),1 unidade,13,9,62
Biscoito salgado gergelim Piraquê ®,1 unidade,10,5,32
Biscoito tipo cookie gotas de chocolate bauduco ®,1 unidade,10,6,51
Biscoito tipo cookie nescau due nestlé ®,1 pacote,20,13,97
Biscoito tipo wafer (média),1 unidade,7,5,38
Biscoito tostines cream cracker São Luiz Nestle ®,1 unidade,8,5,37
Biscoito tostines leite ®,1 unidade,8,6,37
Biscoitos de farinha integral,1 unidade,10,7,40
Biscoitos de glúten a 40%,1 unidade,10,3,29
Biscoitos de glúten puro,1 unidade,10,8,35
Biscoitos doces,1 unidade,8,6,33
Bisnaguinha integral Wickbold ®,1 unidade,17,8,46
Bisnaguinha Pullman,1 unidade,20,11,62
Bisnaguinha Seven Boys ®,1 unidade,17,9,48
BK Burger do BK burger king ®,1 unidade,0,31,678
BK Chicken Crispy burger king ®,1 unidade,0,42,406
BK original burger king ®,1 unidade,0,32,714
BK original cheddar burger king ®,1 unidade,0,33,541
Blanquet de peru sadia ®,4 fatias,60,3,57
Blis Frutas Vermelhas,1 unidade,180,29,158
Bliss morango,1 unidade,200,31,168
Bloody Mary,1 coquetel,148,5,123
Bob’s Burgão ®,1 unidade,0,51,779
Bob’s burguer ®,1 unidade,0,28,661
Bob’s burguer celebrativo ®,1 unidade,0,35,279
Bob’s burguer frango ®,1 unidade,0,31,286
Bob’s burguer veggie  carne ®,1 unidade,0,31,301
Bob’s chedar ®,1 unidade,0,27,267
Bob’s costela ®,1 unidade,0,52,725
Bob’s Premium ®,1 unidade,0,29,845
Bolacha de nata Panco ®,1 unidade,5,4,22
Bolacha sabor chocolate trakinas ®,1 unidade,10,8,48
Bolacha sabor mais morango Trakinas ®,1 unidade,10,8,49
Bolacha sabor meio chocolate ao leite meio chocolate branco trakinas ®,1 unidade,10,8,48
Bolinha de queijo,1 unidade pequena,10,3,27
Bolinho de aipim com carne seca,1 unidade média,45,12,86
Bolinho de arroz,1 unidade,40,20,164
Bolinho de bacalhau,1 unidade media,15,3,42
Bolinho de bacalhau  Habib’s ®,1 unidade,30,5,87
Bolinho de carne,1 unidade,50,8,67
Bolinho de Carne,1 unidade,50,8,67
Bolinho de Chuva,1 unidade pequena,30,13,81
Bolinho de estudante (Bolinho Ana Maria),1 unidade média,80,49,292
Bolinho de Presunto e Queijo,1 unidade,50,12,73
Bolinho de Queijo,1 unidade,50,16,137
Bolinho de soja tipo salsicha (Ta’amti) - Albee ®,4 unidades,90,28,232
Bolo alemão,1 fatia,60,30,227
Bolo comum baunilha Dona Benta ®,1 fatia média,60,30,143
Bolo comum com glacê e recheio,1 fatia média,100,65,384
Bolo de aipim com coco,1 fatia media,80,37,243
Bolo de aipim Dona Benta ®,1 fatia média,60,33,147
Bolo de arroz,1 fatia média,70,39,197
Bolo de banana,1 fatia média,70,33,211
Bolo de batata-doce,1 fatia média,90,43,292
Bolo de Brigadeiro,1 fatia pequena,50,20,147
Bolo de brigadeiro Dona Benta ®,1 fatia média,60,28,147
Bolo de brigadeiro recheado (doceria/festa),1 fatia pequena,100,55,352
Bolo de brownie Dona Benta ®,1 fatia média,60,36,155
Bolo de casamento,1 fatia pequena,75,42,285
Bolo de cenoura,1 fatia média,60,38,227
Bolo de cenoura Dona Benta ®,1 fatia média,60,28,121
Bolo de cenoura Fleischmann ®,1 fatia média,60,30,133
Bolo de chocolate (recheio/cobertura),1 fatia média,100,54,320
Bolo de chocolate com avelã Dona Benta ®,1 fatia média,60,29,152
Bolo de chocolate Dona Benta ®,1 fatia média,60,30,145
Bolo de Chocolate e Nozes,1 fatia pequena,50,17,175
Bolo de chocolate sem glacê,1 fatia média,60,34,306
Bolo de coco,1 fatia grande,100,54,317
Bolo de coco Dona Benta ®,1 fatia média,60,30,143
Bolo de festa (recheio/cobertura),1 fatia média,100,54,320
Bolo de festa diet (recheio/cobertura),1 fatia média,80,20,220
Bolo de fubá,1 fatia média,50,20,160
Bolo de fubá Dona Benta ®,1 fatia média,60,30,140
Bolo de laranja Dona Benta ®,1 fatia média,60,30,143
Bolo de limão,1 fatia média,60,37,233
Bolo de mandioca (aipim),1 pedaço grande,100,48,324
Bolo de milho,1 fatia média,60,32,174
Bolo de milho Dona Benta ®,1 fatia média,60,30,143
Bolo de nozes,1 fatia média,50,28,200
Bolo Floresta Branca com Cereja,1 fatia média,100,38,366
Bolo Floresta Negra com Morango,1 fatia média,100,20,212
Bolo Merengue,1 fatia pequena,50,11,116
Bolo Mousse de Chocolate,1 fatia pequena,50,20,173
Bolo mousse de chocolate (doceria),1 fatia pequena,60,23,185
Bolo mousse de chocolate Dona Benta ®,1 fatia média,60,27,128
Bolo petit gateau Dona Benta ®,1 fatia média,60,29,142
Bolo simples (sem cobertura),1 fatia média,60,31,214
Bolo simples diet (sem cobertura),1 fatia média,60,21,154
Bomba de chocolate,1 unidade,48,9,163
Bombom Alpino ®,1 unidade,13,8,70
Bombom Avelã zero açúcar Kopenhagen ®,1 unidade,20,9,112
Bombom banana Caribe Garoto ®,1 unidade,17,12,65
Bombom charge Nestlé ®,1 unidade,40,23,195
Bombom chokito Nestlé ®,1 unidade,32,24,140
Bombom Copinho de Torrone ®,1 unidade,10,6,54
Bombom de Brigadeiro Florybal ®,1 unidade,15,7,74
Bombom diet Cacau Show ®,1 unidade,13,13,122
Bombom Ferrero Rocher ®,1 unidade,12,6,75
Bombom Flocos,1 unidade,10,6,52
Bombom It coco Garoto ®,1 unidade,17,11,80
Bombom lajotinha Kopenhagen ®,1 e 1/4 unidades,25,12,141
Bombom língua de gato zero açúcar Kopenhagen ®,1 e 1/4 unidades,25,11,139
Bombom nhá benta kopenhagen ®,1 unidade,15,7,71
Bombom Ouro Branco ®,1 unidade,20,12,104
Bombom prestígio Nestle ®,1 unidade,32,22,152
Bombom Raffaello ®,1 unidade,10,4,62
Bombom Sonho de Valsa ®,1 unidade,20,13,105
Bombom Trufa de Cereja,1 unidade,10,6,45
Bombom truffa de creme de cereja Cacau Show ®,1 unidade,25,12,123
Brezel (Pretzel),17 unidades pequenos,28,23,110
Brigadeiro,1 unidade pequena,15,9,60
Brigadeiro,1 unidade média,30,16,103
Brigadeiro de chocolate meio amargo,1 unidade média,30,20,99
Brigadeiro de Flocos,1 unidade,15,9,60
Brigadeiro de Morango,1 unidade,15,9,60
Brigadeiro diet,1 unidade pequena,10,4,25
Broa de Milho,1 unidade,50,25,128
Brócolis com cottage  (Baked Potato),1 concha,80,3,31
Brócolis cozido (picado),1 colher de sopa cheia,10,0,4
Buchada de bode,1 colher de sopa,25,1,32
Burger King ®,1 unidade,197,32,458
Buriti,3 unidades,9,1,15
Cação em posta cozido,1 posta média,100,0,116
Cacau em pó,1 colher de Sopa,10,2,8
Cacau em pó Mãe Terra®,1 colher de sopa,10,2,23
Cachaça,1 dose,50,0,115
Cachorro quente (média),1 unidade,125,31,330
Café coado com açúcar,1 xícara de café,50,5,19
Café coado com açúcar,1 xícara de chá,200,20,76
Café coado sem açúcar,1 xícara de café,50,0,4
Café com leite 3 corações® (cápsula),1 cápsula,9,5,37
Café com leite com açúcar,1 xícara de chá cheia,200,17,128
Café com leite sem açúcar,1 xícara de chá cheia,200,7,88
Café expresso 3 corações® (cápsula),1 cápsula,8,0,0
Café solúvel,1 colher de sopa,4,1,4
Café solúvel,1 colher de chá,1,0,0
Café tradicional filtrado 3 corações® (cápsula),1 cápsula,8,0,0
Caipirinha com açúcar,1 copo,200,30,340
Caipirinha sem açúcar,1 copo,200,3,232
Cajá manga,1 unidade grande,75,9,38
Cajá manga,1 unidade média,55,7,28
Cajá manga,1 unidade pequena,40,5,20
Cajá polpa congelada,1 porção,100,6,26
Cajú,1 unidade média,90,9,39
Caju polpa congelada,1 porção,100,9,37
"Caju, suco concentrado",1 copo,200,21,90
Cajuzinho,1 unidade pequena,12,6,50
Cajuzinho,1 unidade média,25,13,106
Cajuzinho,1 unidade grande,40,20,169
Calda de caramelo,1 Colher de Sopa,10,7,31
Calda de chocolate,1 colher de sopa,10,5,31
Calda de morango,1 Colher de Sopa,10,7,25
Caldo de cana,1 copo,200,36,130
Caldo de carne Knorr®,1 tablete,10,3,30
Caldo de feijão,1 Concha média,150,16,254
Caldo de galinha Knorr®,1 tablete,10,3,30
Caldo de mandioca,1 Concha média,150,21,312
Caldo verde,1 concha média cheia,130,7,79
Camarão (Baked Potato®),1 concha,90,0,42
